Suburb|Address|Rooms|Type|Price|Method|SellerG|Date|Distance|Postcode|Bedroom2|Bathroom|Car|Landsize|BuildingArea|YearBuilt|CouncilArea|Lattitude|Longtitude|Regionname|Propertycount
Aberfeldie|4/37 St Kinnord St|1|u|280000.0|VB|Nelson|22/07/2017|-341803.53330984287|3040.0|||||970418.7755007512|||||Western Metropolitan|1543.0
Windsor|3/45 Williams Rd|2|u|600000.0|SP|hockingstuart|24/09/2016|1335368.861653809|3181.0|2.0|1.0|1.0|1452.0|99652.33622532467|1970.0|Stonnington|-37.8554|145.0018|Southern Metropolitan|4380.0
Diamond Creek|11 Wayland Ct|3|h|815000.0|S|Morrison|12/08/2017|1314163.254989865|3089.0|||||946742.3771466877|||||Northern Victoria|4258.0
Bentleigh East|8a Bray Ct|2|u|570000.0|S|hockingstuart|4/06/2016|544259.9497992739|3165.0|2.0|1.0|1.0|145.0|-681994.5031462994||Glen Eira|-37.9193|145.0659|Southern Metropolitan|10969.0
Glenroy|39 Morley St|3|h|806500.0|S|Barry|3/12/2016|1300519.4444523787|3046.0|3.0|1.0|2.0|766.0|335078.79795900924|1965.0|Moreland|-37.6988|144.9372|Northern Metropolitan|8870.0
South Melbourne|294 Moray St|2|h|1355000.0|S|Marshall|3/12/2016|2035304.4594546258|3205.0|2.0|1.0|0.0|101.0|1818840.2791931888||Port Phillip|-37.8359|144.9644|Southern Metropolitan|5943.0
Bentleigh East|125 Bignell Rd|3|h|1410000.0|S|Buxton|24/06/2017|2107301.5858727414|3165.0|3.0|2.0|3.0|722.0|1844351.9929181228||Glen Eira|-37.93179|145.06957|Southern Metropolitan|10969.0
Keilor East|17/24 Craig St|3|u|580000.0|S|Rendina|10/12/2016|890265.0970755294|3033.0|3.0|2.0|2.0|112.0|-213070.02449391235|2013.0|Moonee Valley|-37.7434|144.881|Western Metropolitan|5629.0
Kew|176 Peel St|5|h|2550000.0|PI|Marshall|18/06/2016|3179575.5137734343|3101.0|5.0|4.0|2.0|597.0|3044049.042288191|2016.0|Boroondara|-37.7937|145.0353|Southern Metropolitan|10331.0
Hampton|3 Smith St|2|h|1465000.0|S|Marshall|18/03/2017|2335094.5343823726|3188.0|2.0|1.0|2.0|581.0|1516891.826915805||Bayside|-37.9323|145.0225|Southern Metropolitan|5454.0
Hawthorn|23 Elgin St|3|h|1480000.0|S|Jellis|3/12/2016|2181510.404625416|3122.0|3.0|1.0|0.0|228.0|1452167.0982607503||Boroondara|-37.8157|145.0263|Southern Metropolitan|11308.0
Yarraville|7/87 Gamon St|3|h|770000.0|VB|Jas|3/12/2016|201539.71719800774|3013.0|3.0|1.0|2.0|323.0|1434631.936099023|1960.0|Maribyrnong|-37.8108|144.8899|Western Metropolitan|6543.0
Avondale Heights|185 Military Rd|3|h|615000.0|SP|Moonee|16/07/2016|2395667.6350807473|3034.0|3.0|1.0|2.0|649.0|660083.7725870704||Moonee Valley|-37.758|144.86|Western Metropolitan|4502.0
Pakenham|3 Cottage Lk|3|h|470000.0|S|Ray|15/07/2017|152470.62737578526|3810.0|2.0|2.0|1.0||1020487.8674303496||Glen Eira|-37.88519|145.06715|Eastern Victoria|17384.0
Brighton East|1A Wallen St|2|h|1035000.0|SP|Buxton|27/05/2017|-319747.55611288623|3187.0|2.0|1.0|1.0|542.0|1319329.3459576468|1985.0|Bayside|-37.91704|145.01846|Southern Metropolitan|6938.0
Hawthorn East|4/26 Redfern Rd|3|t|1264000.0|S|hockingstuart|8/04/2017|1831661.4812453939|3123.0|3.0|2.0|2.0|0.0|106691.17652277648|2010.0|Boroondara|-37.8302|145.0527|Southern Metropolitan|6482.0
Hawthorn|3/150 Barkers Rd|3|u|690000.0|S|Peter|3/06/2017|2527381.271402353|3122.0|3.0|1.0|1.0|1396.0|545890.8480356231|1965.0|Boroondara|-37.81415|145.03082|Southern Metropolitan|11308.0
Elwood|2/6 Southey St|2|u|575000.0|PI|Chisholm|8/10/2016|250458.07807893094|3184.0|2.0|1.0|0.0|483.0|-293701.73736284144|1950.0|Port Phillip|-37.874|144.9835|Southern Metropolitan|8989.0
Kensington|303/62 Altona St|1|u|355000.0|SP|Edward|8/04/2017|-905265.9511996885|3031.0|1.0|1.0|1.0|2581.0|4132.877090906724||Melbourne|-37.7979|144.9265|Northern Metropolitan|5263.0
Kew|4/34 Dean St|2|u|890000.0|S|Jellis|17/09/2016|328820.9585622931|3101.0|2.0|2.0|1.0|89.0|1542752.5931614803|1965.0|Boroondara|-37.8148|145.0571|Southern Metropolitan|10331.0
Footscray|8/33 Gordon St|1|u|305000.0|S|Burnham|17/09/2016|77385.78124605809|3011.0|1.0|1.0|1.0|59.0|1600054.4825304728|1965.0|Maribyrnong|-37.7903|144.8899|Western Metropolitan|7570.0
Kew|1/18 Howard St|2|u|600000.0|S|Nelson|24/06/2017|501855.3441639834|3101.0|2.0|1.0|1.0|847.0|-701470.6781233911||Boroondara|-37.80798|145.02347|Southern Metropolitan|10331.0
Murrumbeena|2/20 Gerald St|2|u|540000.0|VB|Weston|29/07/2017|460842.32822697406|3163.0|3.0|1.0|2.0|1975.0|1435904.8322302918|124.0|Melton|-37.70228|144.57688000000005|Southern Metropolitan|4442.0
Hampton|6 Earlsfield Rd|4|h|2140000.0|S|Hodges|3/12/2016|1766128.7569844741|3188.0|4.0|2.0|3.0|688.0|1383460.0231525227|1925.0|Bayside|-37.9319|145.0173|Southern Metropolitan|5454.0
Maribyrnong|112 Edgewater Bvd|3|t|865000.0|PI|Clairmont|16/04/2016|640245.1939412414|3032.0|3.0|2.0|2.0|151.0|-335880.2919628913|2010.0|Maribyrnong|-37.7855|144.8958|Western Metropolitan|4918.0
West Footscray|107 Alma St|3|h|1575000.0|S|Sweeney|25/02/2017|1023610.1394372066|3012.0|3.0|1.0|4.0|1000.0|1121144.6237354428|1930.0|Maribyrnong|-37.7936|144.8639|Western Metropolitan|5058.0
Bentleigh East|7 Larman St|3|h|1155000.0|S|Buxton|27/06/2016|2475241.955188931|3165.0|||||1083742.1185019577|||||Southern Metropolitan|10969.0
Coburg|5A Hardwick St|2|t|876000.0|S|Woodards|8/07/2017|1839409.031907605|3058.0|3.0|2.0|1.0|161.0|874922.6669499255|1890.0|Moreland|-37.77289|144.97503|Northern Metropolitan|11204.0
St Albans|6/31 Marsden Cr|2|t|445000.0|SP|YPA|1/07/2017|-281720.16079108877|3021.0|||||613294.067823711|||||Western Metropolitan|14042.0
Melbourne|184/461 St Kilda Rd|3|u|2030000.0|S|Marshall|4/06/2016|1683729.5403665204|3000.0|||||2034517.962426729|||||Northern Metropolitan|17496.0
Yarraville|43 Ballarat St|2|h|767000.0|S|Jas|25/02/2017|2132909.1562433382|3013.0|2.0|1.0|0.0|128.0|1064460.1007644588|1920.0|Maribyrnong|-37.8179|144.8908|Western Metropolitan|6543.0
Brunswick|28 Blair St|2|h|1100000.0|S|Nelson|10/09/2016|-6600.630092902343|3056.0|2.0|1.0|0.0|153.0|1355195.4516189774|1900.0|Moreland|-37.7705|144.9647|Northern Metropolitan|11918.0
Ferntree Gully|32 Elton Rd|3|h|663500.0|S|Harcourts|3/06/2017|2161719.104147003|3156.0|3.0|1.0|2.0|736.0|-219824.71471800504||Knox|-37.88909|145.26935|Eastern Metropolitan|10788.0
Greensborough|22 Yangoora Pl|4|h|925000.0|SP|Nelson|24/06/2017|999503.692614196|3088.0|4.0|2.0|2.0|1070.0|412218.54691143375|1980.0|Banyule|-37.69999|145.1279|Northern Metropolitan|8524.0
Footscray|4 Adelaide St|4|h|1225000.0|SP|Nelson|3/12/2016|1091234.0225172678|3011.0|4.0|2.0|1.0|319.0|1003611.4705447224|1915.0|Maribyrnong|-37.7943|144.8875|Western Metropolitan|7570.0
Balwyn|5/4 Raynes St|2|u|725000.0|VB|Noel|27/05/2017|-2638486.6960776625|3103.0|2.0|1.0|1.0|136.0|650162.5046679708|1975.0|Boroondara|-37.80626|145.08776|Southern Metropolitan|5682.0
Mitcham|8 Peel St|3|h|1095000.0|S|McGrath|8/07/2017|271721.29165282124|3132.0|2.0|2.0|1.0|0.0|1484003.4652667611|2017.0|Maribyrnong|-37.77813|144.87287|Eastern Metropolitan|6871.0
Doncaster|5 Iskandar Pl|5|h|1650000.0|VB|Jellis|22/05/2016|2223340.06589675|3108.0|5.0|4.0|2.0|500.0|1920709.274388501|2007.0|Manningham|-37.7863|145.1105|Eastern Metropolitan|9028.0
Roxburgh Park|12 Chesterville Ct|4|h|500000.0|S|Raine|27/05/2017|1169293.7407572565|3064.0|4.0|2.0|2.0|383.0|1094567.182616858|2006.0|Hume|-37.61132|144.92075|Northern Metropolitan|5833.0
Middle Park|84 Hambleton St|4|h|2860000.0|S|Chisholm|20/05/2017|713823.5770434124|3206.0|4.0|3.0|2.0|160.0|3340753.862077693||Port Phillip|-37.8471|144.9595|Southern Metropolitan|2019.0
Southbank|208/102 Wells St|2|u|600000.0|S|Greg|7/11/2016|2080071.6781562453|3006.0|2.0|2.0|1.0|0.0|1258008.3522240524|1995.0|Melbourne|-37.828|144.9683|Southern Metropolitan|8400.0
Pascoe Vale|1/22 Archibald St|3|t|900000.0|S|Nelson|12/08/2017|26309.071490747618|3044.0|4.0|2.0|2.0|638.0|1318903.7942933186||Casey|-38.01706|145.29076|Northern Metropolitan|7485.0
Kew|117A Willsmere Rd|3|h|1110000.0|PI|Ray|27/05/2017|646027.6252880306|3101.0|3.0|2.0|2.0|200.0|924970.4423980914||Boroondara|-37.7948|145.0364|Southern Metropolitan|10331.0
Pascoe Vale|7 Dorothy St|3|h|770000.0|SP|Barry|15/10/2016|1374612.9280325896|3044.0|3.0|1.0|3.0|464.0|-43612.062807778246|1955.0|Moreland|-37.7184|144.9488|Northern Metropolitan|7485.0
South Yarra|16 Davis Av|4|h|2525000.0|PI|Marshall|13/08/2016|3386796.098314777|3141.0|||||2836240.0072651007|||||Southern Metropolitan|14887.0
Heathmont|8 Madigan Ct|3|t|670000.0|S|Ray|17/06/2017|1562947.505586051|3135.0|3.0|2.0|1.0|194.0|1264917.9971625768||Maroondah|-37.82365|145.24001|Eastern Metropolitan|3794.0
Hampton|407/427 Hampton St|1|u|390000.0|VB|Hodges|18/06/2016|2285936.98596966|3188.0|||||934663.6278412616|||||Southern Metropolitan|5454.0
Southbank|909/118 Kavanagh St|2|u|430000.0|PI|Dingle|12/11/2016|2367270.7267065053|3006.0|2.0|2.0|0.0|2295.0|370935.2852839357|2014.0|Melbourne|-37.8256|144.9622|Southern Metropolitan|8400.0
Fitzroy North|35 Birkenhead St|2|h|1290000.0|S|Chambers|18/03/2017|1492874.1729622397|3068.0|2.0|1.0|0.0|136.0|1621524.6574464412|1890.0|Yarra|-37.7819|144.9824|Northern Metropolitan|6244.0
Hampton|2/34 Linacre Rd|2|u|665000.0|S|Hodges|20/05/2017|220653.43115372566|3188.0|2.0|1.0|1.0|136.0|-21332.51857224817|1970.0|Bayside|-37.9427|145.0052|Southern Metropolitan|5454.0
Pascoe Vale|259 Sussex St|3|h|612500.0|S|Brad|28/05/2016|-215205.71082224682|3044.0|3.0|1.0|1.0|522.0|178874.97698166745|1950.0|Moreland|-37.7187|144.9514|Northern Metropolitan|7485.0
Hampton East|3 Besant St|2|h|830000.0|PI|Buxton|27/06/2016|645220.3295623704|3188.0|2.0|1.0|2.0|658.0|1084087.1350615926||Bayside|-37.9426|145.03|Southern Metropolitan|2356.0
Middle Park|12 Langridge St|3|h|2227000.0|S|Greg|10/12/2016|3073146.300797451|3206.0|||||2804850.9486684757|||||Southern Metropolitan|2019.0
Hawthorn|4 Manchester St|3|h|1750000.0|S|Woodards|20/05/2017|2377388.182722747|3122.0|3.0|1.0|4.0|368.0|1712395.1735001374||Boroondara|-37.8288|145.0398|Southern Metropolitan|11308.0
Coburg North|21 Tonkin Av|2|h|810000.0|S|Brad|8/10/2016|1995201.6362145662|3058.0|||||413204.53491148923|||||Northern Metropolitan|3445.0
Bentleigh East|29 Beddoe Av|5|h|1260000.0|S|Buxton|17/09/2016|2049996.087076472|3165.0|||||930061.5015965615|||||Southern Metropolitan|10969.0
Oak Park|2/36 Curie Av|2|t|545000.0|PI|Hodges|29/07/2017|-250023.38729895782|3046.0|4.0|1.0|1.0||165333.0640964036||Monash|-37.87258|145.14008|Northern Metropolitan|2651.0
Glen Iris|1/1484 Malvern Rd|2|u|500000.0|PI|Thomson|1/07/2017|1180666.2109062388|3146.0|2.0|1.0|1.0|0.0|428021.92125931924|1965.0|Stonnington|-37.85399|145.04699|Southern Metropolitan|10412.0
Reservoir|2/33 Oconnor St|2|t|521000.0|S|Harcourts|3/06/2017|-537733.170800661|3073.0|2.0|1.0|1.0|0.0|-30964.973693276173|2009.0|Darebin|-37.7106|145.00177|Northern Metropolitan|21650.0
Oak Park|4/4 Ethel St|2|u|460000.0|S|Brad|3/06/2017|937187.3685228591|3046.0|2.0|1.0|1.0|106.0|-196831.45625078745||Moreland|-37.72326|144.91681|Northern Metropolitan|2651.0
Pascoe Vale|111 Derby St|3|h|876000.0|S|Nelson|27/05/2017|904160.8082326195|3044.0|3.0|1.0|2.0|525.0|1263037.008629052|1960.0|Moreland|-37.72803|144.94624|Northern Metropolitan|7485.0
Heidelberg West|290 Oriel Rd|3|h|652000.0|S|Barry|11/02/2017|1638175.7004449968|3081.0|3.0|1.0|0.0|589.0|3718.006678218371||Banyule|-37.7356|145.0448|Eastern Metropolitan|2674.0
Eltham|6 Grove St|4|h|975000.0|S|Morrison|3/06/2017|1365717.210623583|3095.0|4.0|1.0|2.0|1005.0|773280.3514185895||Nillumbik|-37.71119|145.15333|Eastern Metropolitan|6990.0
Brunswick East|17 Roberts St|2|h|1220000.0|SP|Nelson|29/07/2017|976108.6134775685|3057.0|2.0|1.0|1.0|1970.0|1224105.169466952|85.0|Whitehorse|-37.8321|145.14444|Northern Metropolitan|5533.0
Hawthorn|12 Morang Rd|3|h|1980000.0|S|Jellis|27/11/2016|1656708.005284712|3122.0|3.0|2.0|1.0|151.0|1758874.9030228918||Boroondara|-37.8219|145.0241|Southern Metropolitan|11308.0
Kingsville|100 Coronation St|4|h|1205000.0|S|hockingstuart|20/05/2017|312725.25826634764|3012.0|4.0|1.0|1.0|318.0|550373.8149628077|1960.0|Maribyrnong|-37.8105|144.8803|Western Metropolitan|1808.0
Eaglemont|47 Ormond Rd|5|h|1930000.0|S|Miles|15/10/2016|2166784.423060487|3084.0|5.0|2.0|1.0|939.0|2740218.2554039042|1930.0|Banyule|-37.7659|145.0585|Eastern Metropolitan|1651.0
Delahey|29 Kingsley Pl|3|h|550000.0|PI|Sweeney|22/07/2017|376372.3848079017|3037.0|4.0|2.0|1.0||775401.7724979579||Kingston|-37.96768|145.07966000000005|Western Metropolitan|2898.0
Clayton|22 Evelyn St|6|h|1361000.0|S|Purplebricks|17/06/2017|1415924.0886687753|3168.0|6.0|3.0|4.0|726.0|984766.7249972344||Monash|-37.91945|145.1315|South-Eastern Metropolitan|5837.0
Bundoora|533 Grimshaw St|3|h|682000.0|S|Ray|1/07/2017|1400967.0297195306|3083.0|3.0|1.0|1.0|583.0|1031880.0212634264||Banyule|-37.70074|145.0648|Northern Metropolitan|10175.0
Burwood|2/2 Aylwin Av|2|u|604000.0|S|Fletchers|4/06/2016|688467.7150997266|3125.0|||||231702.5530764668|||||Southern Metropolitan|5678.0
