CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,PRC_FULL_PAYMENT,TENURE
C19040,10.920026,1.0,95.6,0.0,95.6,0.0,1.0,0.0,0.9,0.0,0,10,1000.0,78.092423,0.571429,10
C11000,2437.739510000001,1.0,1093.93,695.29,398.64,822.700458,1.0,0.25,1.0,0.166667,4,15,2900.0,556.2136730000002,0.0,12
C12157,231.983056,0.571429,0.0,0.0,0.0,1434.138511,0.0,0.0,0.0,0.14285699999999998,1,0,1500.0,2456.797947,0.5,7
C13072,124.732546,0.818182,301.07,301.07,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,5000.0,732.951933,0.0,12
C17373,1466.99222,1.0,230.1,30.0,200.1,0.0,0.5,0.083333,0.5,0.0,0,7,1500.0,415.795291,0.0,12
C11073,328.242971,1.0,1555.66,1023.9,531.76,0.0,1.0,0.25,1.0,0.0,0,26,3500.0,1052.275904,0.0,12
C14600,2707.058356,1.0,2018.13,1545.23,472.9,0.0,0.75,0.25,0.666667,0.0,0,26,7000.0,2575.541309,0.0,12
C10055,464.674156,0.8888889999999999,1979.22,1979.22,0.0,1981.265503,0.666667,0.666667,0.0,0.111111,1,11,3000.0,3110.0527420000008,0.2,9
C16833,631.858702,0.545455,75.25,0.0,75.25,0.0,0.333333,0.0,0.333333,0.0,0,5,1200.0,1458.6444,0.0,12
C11698,188.424847,1.0,1576.35,1063.85,512.5,0.0,0.833333,0.833333,0.333333,0.0,0,20,6500.0,1271.2335380000004,0.25,12
C16073,80.513636,1.0,588.2,65.0,523.2,0.0,1.0,0.083333,0.916667,0.0,0,13,3000.0,601.7788889999998,0.5,12
C11948,408.948673,0.272727,0.0,0.0,0.0,1871.859929,0.0,0.0,0.0,0.083333,1,0,10000.0,3902.376688,0.090909,12
C17577,1223.783946,1.0,135.24,0.0,135.24,0.0,1.0,0.0,1.0,0.0,0,12,1200.0,328.934771,0.0,12
C13264,488.00991,1.0,102.98,0.0,102.98,0.0,0.166667,0.0,0.166667,0.0,0,2,7000.0,186.660086,0.0,12
C15431,2172.893325,0.909091,416.74,0.0,416.74,0.0,0.416667,0.0,0.333333,0.0,0,5,3000.0,3905.486286,0.1,12
C17086,344.023581,1.0,1551.27,944.77,606.5,0.0,1.0,0.333333,0.916667,0.0,0,26,6500.0,1779.3819620000004,0.0,12
C16386,226.684073,1.0,672.48,0.0,672.48,235.063106,1.0,0.0,1.0,0.666667,9,12,4500.0,869.632913,0.0,12
C15936,1826.387864,1.0,0.0,0.0,0.0,89.176017,0.0,0.0,0.0,0.166667,2,0,2000.0,367.804353,0.0,12
C13085,982.165343,1.0,435.72,45.65,390.07,0.0,0.5,0.083333,0.5,0.0,0,20,2300.0,917.52463,0.0,12
C13313,6045.192228,1.0,0.0,0.0,0.0,2628.993114,0.0,0.0,0.0,0.666667,17,0,8500.0,1507.863241,0.0,12
C18941,27.202031,1.0,538.41,0.0,538.41,0.0,1.0,0.0,1.0,0.0,0,15,1500.0,458.430924,0.4,12
C17659,16.004225,0.636364,159.44,0.0,159.44,0.0,0.583333,0.0,0.583333,0.0,0,11,2700.0,276.112744,0.285714,12
C15449,97.16839,1.0,1639.92,0.0,1639.92,0.0,1.0,0.0,1.0,0.0,0,12,2150.0,1620.285733,0.083333,12
C16323,21.542924,1.0,0.0,0.0,0.0,1087.758564,0.0,0.0,0.0,0.083333,4,0,1200.0,1173.576762,0.090909,12
C15753,266.14274700000004,1.0,2109.17,1384.31,724.86,0.0,1.0,1.0,1.0,0.0,0,40,7000.0,2003.273695,1.0,12
C10368,99.955082,1.0,1222.97,202.97,1020.0,0.0,1.0,0.25,1.0,0.0,0,16,19500.0,1142.077891,1.0,12
C16569,603.686346,1.0,397.5,88.0,309.5,63.384239,0.5,0.083333,0.416667,0.166667,2,12,1500.0,279.038144,0.0,12
C11263,5.801666,0.272727,88.97,33.0,55.97,0.0,0.166667,0.083333,0.083333,0.0,0,2,2720.0,620.204737,1.0,12
C10628,724.261595,1.0,625.46,198.4,427.06,0.0,0.583333,0.166667,0.5,0.0,0,10,7500.0,721.0810230000002,0.0,12
C14096,8121.778586,1.0,231.14,52.44,178.7,2992.209093,1.0,0.083333,1.0,0.25,18,14,12000.0,2143.672319,0.0,12
C14564,1360.5903560000004,1.0,2834.03,1972.22,861.81,0.0,1.0,0.5,1.0,0.0,0,54,6000.0,1333.71178,0.0,12
C18621,882.5812900000002,1.0,2421.34,1661.76,759.58,0.0,1.0,0.916667,1.0,0.0,0,40,5000.0,1997.323094,0.0,12
C14545,1317.5476609999996,1.0,1987.76,1062.44,925.32,0.0,1.0,0.5,0.916667,0.0,0,36,6000.0,753.735014,0.0,12
C10294,2302.184366,1.0,2856.57,922.84,1933.73,0.0,1.0,0.25,1.0,0.0,0,62,2500.0,2914.419813,0.0,12
C14034,2450.104201,1.0,0.0,0.0,0.0,657.525213,0.0,0.0,0.0,0.083333,1,0,3000.0,692.953519,0.0,12
C10803,1822.43199,1.0,177.23,70.26,106.97,0.0,0.083333,0.083333,0.083333,0.0,0,3,2500.0,1136.3401210000004,0.0,12
C15318,5.313086,0.545455,71.75,0.0,71.75,0.0,0.583333,0.0,0.583333,0.0,0,7,3000.0,112.61746,0.14285699999999998,12
C14130,8695.084351000001,1.0,0.0,0.0,0.0,2772.592928,0.0,0.0,0.0,0.083333,2,0,17500.0,2353.936879,0.0,12
C11291,1121.833202,1.0,2940.0,750.0,2190.0,0.0,1.0,0.083333,0.916667,0.0,0,13,3500.0,1279.460209,0.3,12
C11287,395.81907,0.8888889999999999,37.0,0.0,37.0,0.0,0.111111,0.0,0.111111,0.0,0,2,2500.0,243.495592,0.0,9
C14226,1634.559235,1.0,1062.94,1006.18,56.76,0.0,0.583333,0.5,0.166667,0.0,0,15,1800.0,584.660133,0.0,12
C17405,1322.818587,1.0,0.0,0.0,0.0,762.301096,0.0,0.0,0.0,0.545455,11,0,1500.0,1035.6273199999996,0.0,11
C16695,644.9339110000002,0.833333,7.26,0.0,7.26,966.749372,0.166667,0.0,0.166667,0.166667,1,1,1500.0,431.732367,0.0,6
C12017,5291.221238,1.0,2090.47,1965.41,125.06,1153.665768,0.5,0.5,0.416667,0.25,3,21,15000.0,1718.461993,0.0,12
C16063,535.278586,1.0,704.72,360.9,343.82,0.0,1.0,0.5,1.0,0.0,0,38,600.0,686.9765570000002,0.0,12
C12189,1167.863521,1.0,94.7,94.7,0.0,187.817003,0.166667,0.166667,0.0,0.416667,5,2,1200.0,350.850434,0.0,12
C13143,668.742738,1.0,951.97,664.83,287.14,0.0,0.666667,0.083333,0.583333,0.0,0,12,1000.0,1362.945215,0.083333,12
C17122,379.74055,1.0,1348.41,546.21,802.2,0.0,0.666667,0.416667,0.5,0.0,0,25,1300.0,430.736402,0.0,12
C15307,303.929544,0.545455,0.0,0.0,0.0,1120.769857,0.0,0.0,0.0,0.083333,1,0,1200.0,1471.642879,0.125,12
C14614,7287.084204000002,1.0,0.0,0.0,0.0,6605.075695,0.0,0.0,0.0,0.75,24,0,7500.0,4293.062891,0.0,12
C17030,1593.467543,1.0,0.0,0.0,0.0,1889.339793,0.0,0.0,0.0,0.333333,2,0,2000.0,173.71666000000005,0.0,6
C10651,537.389322,0.9,1704.22,150.5,1553.72,0.0,0.9,0.2,0.8,0.0,0,16,1500.0,679.8884559999998,0.125,10
C16201,0.0,0.0,54.0,0.0,54.0,0.0,0.166667,0.0,0.166667,0.0,0,2,4000.0,0.0,0.0,12
C13288,452.094148,1.0,5073.53,4752.26,321.27,0.0,1.0,1.0,0.666667,0.0,0,54,7000.0,3923.560419,1.0,12
C15650,1.874969,0.363636,433.32,0.0,433.32,0.0,1.0,0.0,1.0,0.0,0,12,2000.0,238.913827,0.0,12
C12220,5067.576984,1.0,714.68,402.68,312.0,726.955255,1.0,0.083333,1.0,0.083333,2,14,5000.0,1649.118645,0.0,12
C14112,5561.390014,1.0,0.0,0.0,0.0,3041.330064,0.0,0.0,0.0,0.5,17,0,6000.0,2193.97427,0.0,12
C15147,368.330629,1.0,1029.29,1029.29,0.0,0.0,0.416667,0.416667,0.0,0.0,0,6,6500.0,1393.630631,0.0,12
C12021,3007.470055,1.0,102.48,0.0,102.48,0.0,0.583333,0.0,0.583333,0.0,0,28,3000.0,561.592591,0.0,12
C16814,2590.469749,1.0,459.12,422.0,37.12,0.0,0.333333,0.333333,0.083333,0.0,0,11,2900.0,584.70712,0.0,12
C17344,228.025747,1.0,2159.68,598.02,1561.66,0.0,1.0,0.333333,1.0,0.0,0,46,3000.0,2161.393568,0.5,12
C15194,1037.797184,1.0,103.27,103.27,0.0,475.467016,0.25,0.25,0.0,0.75,14,5,2500.0,326.649398,0.0,12
C18017,1219.044349,1.0,0.0,0.0,0.0,927.862723,0.0,0.0,0.0,0.333333,15,0,2500.0,259.368165,0.0,12
C11332,5858.617133,1.0,2761.41,2484.65,276.76,0.0,1.0,0.666667,0.666667,0.0,0,24,11000.0,1919.207449,0.0,12
C11062,2294.145941,1.0,29.29,0.0,29.29,137.256946,0.083333,0.0,0.083333,0.083333,2,1,2100.0,149.363733,0.0,12
C16732,851.8806480000002,0.909091,1476.7,934.59,542.11,903.935644,0.636364,0.454545,0.363636,0.272727,3,18,1200.0,2207.649199,0.125,11
C12418,5925.120611,1.0,1763.89,258.43,1505.46,0.0,1.0,0.25,1.0,0.0,0,195,6500.0,2557.841292,0.0,12
C16644,559.7503730000002,1.0,622.44,400.0,222.44,0.0,0.75,0.083333,0.666667,0.0,0,9,700.0,893.4949359999998,0.083333,12
C12217,226.03038,1.0,435.08,435.08,0.0,0.0,0.916667,0.916667,0.0,0.0,0,15,7500.0,3796.014359,0.2,12
C16656,1928.254972,0.9,293.26,293.26,0.0,830.670122,0.1,0.1,0.0,0.1,1,2,2000.0,496.917889,0.0,10
C11874,102.832194,1.0,1067.85,669.21,398.64,0.0,1.0,0.583333,1.0,0.0,0,21,10000.0,1480.49182,0.545455,12
C14589,629.9463360000002,1.0,1832.92,1832.92,0.0,0.0,0.5,0.5,0.0,0.0,0,14,6500.0,1425.425074,0.0,12
C16110,6245.256644,1.0,539.55,0.0,539.55,2804.63059,0.833333,0.0,0.75,0.083333,2,32,6500.0,1405.944742,0.0,12
C10286,2.564117,0.181818,47.95,47.95,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1500.0,294.507498,0.0,12
C17491,9.048773,0.909091,316.2,0.0,316.2,0.0,1.0,0.0,1.0,0.0,0,24,2000.0,391.398298,0.6,12
C12249,2494.774127,1.0,250.0,250.0,0.0,2804.350229,0.083333,0.083333,0.0,0.333333,7,1,3000.0,864.527484,0.0,12
C12855,149.345328,1.0,1424.4,1330.91,93.49,0.0,1.0,1.0,0.083333,0.0,0,17,5000.0,1214.676732,0.75,12
C15485,952.952011,1.0,39.58,39.58,0.0,663.05871,0.083333,0.083333,0.0,0.083333,3,1,1800.0,1665.457998,0.0,12
C13432,2187.00313,0.9,0.0,0.0,0.0,892.792807,0.0,0.0,0.0,0.1,2,0,3000.0,460.103356,0.0,10
C10908,802.274379,0.636364,150.0,0.0,150.0,3714.01114,0.25,0.0,0.25,0.166667,2,3,6000.0,0.0,0.0,12
C18081,109.794839,1.0,259.28,167.0,92.28,0.0,1.0,0.083333,1.0,0.0,0,13,2500.0,168.86298,0.166667,12
C17644,523.1275440000002,1.0,786.94,582.74,204.2,1088.139436,0.25,0.083333,0.083333,0.25,4,3,1000.0,1603.447936,0.083333,12
C18716,34.750769,1.0,2562.0,0.0,2562.0,0.0,1.0,0.0,1.0,0.0,0,12,2300.0,2544.223939,0.454545,12
C16395,94.106762,0.454545,1063.22,789.22,274.0,0.0,0.75,0.333333,0.416667,0.0,0,14,7000.0,276.870232,0.0,12
C14963,743.52397,1.0,962.78,278.48,684.3,360.1549720000001,1.0,0.25,1.0,0.083333,1,30,1000.0,402.895757,0.0,12
C11496,1.198223,0.909091,317.02,149.97,167.05,0.0,0.916667,0.75,0.666667,0.0,0,30,6000.0,304.637365,0.0,12
C14250,22.151355,0.333333,134.87,64.98,69.89,0.0,0.333333,0.166667,0.166667,0.0,0,3,3000.0,41.580849,0.0,6
C13451,1355.179528,1.0,0.0,0.0,0.0,119.945758,0.0,0.0,0.0,0.083333,2,0,1500.0,338.5412790000001,0.0,12
C16233,951.309137,1.0,137.03,137.03,0.0,1171.933912,0.111111,0.111111,0.0,0.111111,2,3,1200.0,312.729653,0.0,9
C10376,813.068705,1.0,439.38,439.38,0.0,727.658311,0.083333,0.083333,0.0,0.25,8,2,1200.0,237.996469,0.0,12
C19006,25.486713,1.0,365.0,0.0,365.0,0.0,1.0,0.0,0.909091,0.0,0,19,1500.0,254.686988,0.777778,11
C10976,3215.307061,1.0,0.0,0.0,0.0,629.109981,0.0,0.0,0.0,0.583333,11,0,3500.0,1333.839527,0.0,12
C15789,2828.808139,1.0,199.0,0.0,199.0,0.0,0.25,0.0,0.166667,0.0,0,3,8000.0,615.69756,0.0,12
C17071,1362.522626,1.0,62.25,0.0,62.25,56.644654,0.083333,0.0,0.083333,0.166667,2,1,1500.0,349.397408,0.0,12
C11032,2928.756699,1.0,160.92,0.0,160.92,319.931964,1.0,0.0,1.0,0.333333,5,12,3000.0,1142.847203,0.0,12
C11637,2000.797758,1.0,1037.5,0.0,1037.5,0.0,0.416667,0.0,0.416667,0.0,0,5,7500.0,1864.665644,0.272727,12
C18602,92.887247,1.0,1258.5,0.0,1258.5,0.0,1.0,0.0,0.916667,0.0,0,25,1000.0,1210.465945,0.666667,12
